                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0528,                 1.1734,                0.92328,                0.96617,                0.92437,                0.94332,                0.68807,                   0.95,                0.92347,                0.98075,             0.00066228,             0.00066228,             0.00066228
                      2,                 1.1167,                0.92617,                0.95248,                0.95821,                0.96347,                0.99096,                0.77285,                0.72802,                0.64074,                0.91248,              0.0012632,              0.0012632,              0.0012632
                      3,                 1.0834,                0.74126,                0.93227,                0.99391,                0.86555,                0.97126,                0.78867,                0.75143,                0.55642,                0.92834,               0.001798,               0.001798,               0.001798
                      4,                 1.0543,                0.64831,                0.93767,                0.98456,                0.97479,                  0.993,                0.77766,                0.77201,                0.47906,                 0.9242,               0.001703,               0.001703,               0.001703
                      5,                 1.0264,                0.60465,                0.93028,                0.93724,                0.98319,                0.99008,                0.79439,                 0.7217,                0.47145,                0.90691,               0.001703,               0.001703,               0.001703
                      6,                 1.0249,                0.57389,                0.92527,                0.98067,                0.97479,                0.99345,                 0.8097,                0.65505,                0.40725,                0.88583,               0.001604,               0.001604,               0.001604
                      7,                0.96856,                 0.5377,                0.91081,                      1,                0.98159,                0.99492,                 0.8247,                0.65616,                0.40108,                 0.8874,               0.001505,               0.001505,               0.001505
                      8,                0.96638,                  0.521,                0.91517,                      1,                0.98299,                0.99467,                 0.8038,                0.71422,                0.41333,                0.89599,               0.001406,               0.001406,               0.001406
                      9,                0.96175,                 0.5107,                0.90764,                0.99712,                0.97479,                0.99443,                0.84674,                0.64252,                0.36964,                0.89334,               0.001307,               0.001307,               0.001307
                     10,                0.94035,                0.49594,                0.90139,                0.99918,                 0.9916,                  0.995,                0.85164,                0.60178,                0.37473,                0.86794,               0.001208,               0.001208,               0.001208
                     11,                0.93825,                 0.4902,                0.90259,                 0.9895,                 0.9916,                0.99458,                0.83879,                0.61894,                0.38507,                0.87376,               0.001109,               0.001109,               0.001109
                     12,                0.92619,                0.47924,                0.90303,                 0.9987,                 0.9916,                  0.995,                0.85417,                0.64182,                0.38386,                0.87871,                0.00101,                0.00101,                0.00101
                     13,                0.90247,                0.45694,                0.89593,                 0.9995,                 0.9916,                  0.995,                0.84549,                0.59756,                0.34477,                0.87125,               0.000911,               0.000911,               0.000911
                     14,                0.88526,                0.44093,                0.89101,                0.99036,                 0.9916,                0.99475,                0.86697,                0.58881,                0.35283,                0.86596,               0.000812,               0.000812,               0.000812
                     15,                0.88108,                0.43279,                0.88414,                0.99962,                 0.9916,                  0.995,                0.86076,                0.58254,                0.32103,                0.87436,               0.000713,               0.000713,               0.000713
                     16,                0.86534,                0.41807,                0.88422,                0.99972,                 0.9916,                  0.995,                0.88477,                0.53294,                  0.306,                0.85723,               0.000614,               0.000614,               0.000614
                     17,                0.85681,                0.41082,                 0.8826,                0.99909,                 0.9916,                  0.995,                0.88254,                0.53321,                0.30433,                0.86417,               0.000515,               0.000515,               0.000515
                     18,                0.83791,                0.39984,                0.87515,                0.99932,                 0.9916,                  0.995,                0.89329,                0.55483,                0.28701,                0.86037,               0.000416,               0.000416,               0.000416
                     19,                0.82535,                0.38949,                0.87754,                0.99931,                 0.9916,                  0.995,                0.89598,                0.53203,                0.27988,                0.85346,               0.000317,               0.000317,               0.000317
                     20,                0.81687,                0.37211,                0.87523,                0.99938,                 0.9916,                  0.995,                0.89366,                0.52535,                 0.2625,                  0.852,               0.000218,               0.000218,               0.000218
